@relation 'kmeansdata_arff'
@attribute x numeric
@attribute y numeric

@data
56,125
108,18
39,131
34,18
83,81
16,134
121,11
109,84
6,122
55,33
67,141
57,0
36,67
79,107
63,131
32,39
58,107
90,75
31,4
89,129
47,13
69,130
117,60
34,133
120,1
109,132
33,145
121,149
64,80
19,142
96,66
27,23
15,10
30,77
104,147
7,46
95,50
56,6
92,9
122,139
39,113
11,107
45,83
31,53
81,25
21,9
118,20
43,8
20,92
92,129
77,116
22,83
77,25
16,2
97,122
5,138
70,74
42,134
67,75
94,111
87,149
3,55
5,93
100,112
113,36
59,80
48,118
49,137
120,78
3,77
116,62
3,42
24,53
42,93
101,91
